order_id,delivery_date,dispatch_window,customer_id,customer_name,address,city,state,zip,truck_id,product,units,weight_lbs,lat,lng
SO-728440,2026-07-20,06:30,REXHART,Rex Lumber Hartford,610 Wethersfield Ave,Hartford,CT,06114,T-07,OSB 7/16 4x8 sheathing,7 pallets,16205,41.742,-72.6689
SO-728442,2026-07-20,06:30,NEWBRIT,Hardware City Building Supply,225 Christian Ln,New Britain,CT,06051,T-07,Millwork & interior trim,2 bundles,3951,41.6687,-72.7799
SO-728445,2026-07-20,06:30,NEWBGH,Hudson Valley Building Materials,1220 Route 300,Newburgh,NY,12550,T-08,LVL 1.75x11.875 beams,75 pcs,7085,41.5101,-74.0212
SO-728448,2026-07-20,06:30,84LPOK,84 Lumber #1146,600 Violet Ave,Poughkeepsie,NY,12601,T-08,OSB 7/16 4x8 sheathing,4 pallets,9076,41.6805,-73.9385
SO-728450,2026-07-20,06:30,NEWBGH,Hudson Valley Building Materials,1220 Route 300,Newburgh,NY,12550,T-08,CertainTeed vinyl siding,8 pallets,11055,41.5101,-74.0212
SO-728454,2026-07-20,06:30,KINGBS,Kingston Building Supply,850 Flatbush Ave,Kingston,NY,12401,T-08,Millwork & interior trim,3 bundles,5221,41.9385,-73.9905
SO-728455,2026-07-20,06:30,NEWBGH,Hudson Valley Building Materials,1220 Route 300,Newburgh,NY,12550,T-08,James Hardie lap siding,1 pallets,4129,41.5101,-74.0212
SO-728459,2026-07-20,06:30,84LPOK,84 Lumber #1146,600 Violet Ave,Poughkeepsie,NY,12601,T-08,Trex composite decking,4 pallets,8639,41.6805,-73.9385
SO-728463,2026-07-20,06:30,ABEBS,Lehigh Valley Building Supply,1750 Grammes Rd,Allentown,PA,18103,T-09,SPF dimensional lumber 2x4-2x10,"8,200 BF",19374,40.6084,-75.49
SO-728464,2026-07-20,06:30,GUILBS,Shoreline Building Products,2280 Boston Post Rd,Guilford,CT,06437,T-10,OSB 7/16 4x8 sheathing,4 pallets,9160,41.2895,-72.6817
SO-728468,2026-07-20,06:30,NATNH,National Lumber New Haven,20 Lenox St,New Haven,CT,06513,T-10,BCI I-joists 11.875,148 pcs,9162,41.3162,-72.8989
SO-728469,2026-07-20,06:30,NATNH,National Lumber New Haven,20 Lenox St,New Haven,CT,06513,T-10,CertainTeed vinyl siding,4 pallets,5815,41.3162,-72.8989
SO-728473,2026-07-20,06:30,ELMCITY,Elm City Building Products,480 Grand Ave,New Haven,CT,06511,T-10,James Hardie lap siding,4 pallets,11875,41.3055,-72.9104
SO-728477,2026-07-20,06:30,MILFBS,Milford Building Supply,85 Rowe Ave,Milford,CT,06461,T-10,LVL 1.75x11.875 beams,42 pcs,3957,41.2301,-73.064
SO-728481,2026-07-20,06:30,GSMILL,Garden State Millwork,480 Frelinghuysen Ave,Newark,NJ,07114,T-11,BCI I-joists 11.875,54 pcs,3376,40.7059,-74.1735
SO-728482,2026-07-20,06:30,IRONBND,Ironbound Building Supply,315 Ferry St,Newark,NJ,07105,T-11,OSB 7/16 4x8 sheathing,1 pallets,3158,40.7285,-74.1502
SO-728485,2026-07-20,06:30,ELIZBS,Union County Building Supply,601 Bayway Ave,Elizabeth,NJ,07202,T-11,James Hardie lap siding,3 pallets,9715,40.6639,-74.2107
SO-728489,2026-07-20,06:30,84LPARS,84 Lumber #2210,1159 US-46,Parsippany,NJ,07054,T-11,SPF dimensional lumber 2x4-2x10,"2,800 BF",6750,40.8602,-74.4205
SO-728493,2026-07-20,06:30,HICKBS,Hicksville Building Supply,300 Duffy Ave,Hicksville,NY,11801,T-12,BCI I-joists 11.875,351 pcs,21740,40.7712,-73.5205
SO-728494,2026-07-20,06:30,GREENF,Franklin County Building Supply,89 French King Hwy,Greenfield,MA,01301,T-13,Trex composite decking,6 pallets,13791,42.6039,-72.5541
SO-728498,2026-07-20,06:30,GREENF,Franklin County Building Supply,89 French King Hwy,Greenfield,MA,01301,T-13,CertainTeed vinyl siding,6 pallets,9045,42.6039,-72.5541
SO-728502,2026-07-20,06:30,SDEERF,South Deerfield Lumber,260 Greenfield Rd,South Deerfield,MA,01373,T-13,Millwork & interior trim,4 bundles,6737,42.4777,-72.6079
SO-728506,2026-07-20,06:30,AMHERSTL,Amherst Lumber,459 University Dr,Amherst,MA,01002,T-13,Trex composite decking,3 pallets,7590,42.3672,-72.5312
SO-728508,2026-07-20,06:30,WARWBS,Warwick Building Products,555 Jefferson Blvd,Warwick,RI,02886,T-14,Trex composite decking,4 pallets,9043,41.7005,-71.426
SO-728511,2026-07-20,06:30,WARWBS,Warwick Building Products,555 Jefferson Blvd,Warwick,RI,02886,T-14,SPF dimensional lumber 2x4-2x10,"4,300 BF",10197,41.7005,-71.426
SO-728515,2026-07-20,06:30,NKINGBS,North Kingstown Lumber,7712 Post Rd,North Kingstown,RI,02852,T-14,Trex composite decking,4 pallets,9653,41.5801,-71.4774
SO-728518,2026-07-20,06:30,BFSPROV,Builders FirstSource Providence,260 Kinsley Ave,Providence,RI,02903,T-14,Trex composite decking,3 pallets,6890,41.8221,-71.4302
SO-728522,2026-07-20,06:30,BFSPROV,Builders FirstSource Providence,260 Kinsley Ave,Providence,RI,02903,T-14,Trex composite decking,3 pallets,7286,41.8221,-71.4302
SO-728523,2026-07-20,06:30,NKINGBS,North Kingstown Lumber,7712 Post Rd,North Kingstown,RI,02852,T-14,Millwork & interior trim,2 bundles,3926,41.5801,-71.4774
SO-728527,2026-07-20,06:30,HOLBROOK,Holbrook Lumber Co,627 Page Blvd,Springfield,MA,01104,T-15,CertainTeed vinyl siding,13 pallets,18993,42.1121,-72.5605
SO-728530,2026-07-20,06:30,BRATVT,Brattleboro Home & Lumber,532 Putney Rd,Brattleboro,VT,05301,T-16,BCI I-joists 11.875,125 pcs,7757,42.8552,-72.5715
SO-728531,2026-07-20,06:30,BRATVT,Brattleboro Home & Lumber,532 Putney Rd,Brattleboro,VT,05301,T-16,LVL 1.75x11.875 beams,82 pcs,7763,42.8552,-72.5715
SO-728532,2026-07-20,06:30,WPBS,Westchester Building Products,180 Westmoreland Ave,White Plains,NY,10606,T-17,James Hardie lap siding,5 pallets,14900,41.0421,-73.7702
SO-728534,2026-07-20,06:30,WORCBS,Worcester Building Supply,120 Southbridge St,Worcester,MA,01608,T-18,Millwork & interior trim,21 bundles,37400,42.2751,-71.7997
SO-728537,2026-07-20,09:45,DANBS,Danbury Building Supply,57 Shelter Rock Rd,Danbury,CT,06810,T-06,OSB 7/16 4x8 sheathing,2 pallets,5190,41.4015,-73.4501
SO-728541,2026-07-20,09:45,GUILBS,Shoreline Building Products,2280 Boston Post Rd,Guilford,CT,06437,T-10,OSB 7/16 4x8 sheathing,3 pallets,7291,41.2895,-72.6817
SO-728544,2026-07-20,09:45,PATERBS,Silk City Building Materials,245 E Railway Ave,Paterson,NJ,07503,T-11,OSB 7/16 4x8 sheathing,4 pallets,8724,40.9105,-74.1602
SO-728546,2026-07-20,09:45,VALLEYBS,Valley Building Supply,320 King St,Northampton,MA,01060,T-13,SPF dimensional lumber 2x4-2x10,"1,900 BF",4651,42.3389,-72.6417
SO-728547,2026-07-20,09:45,NEWROCH,Sound Shore Building Supply,379 Main St,New Rochelle,NY,10801,T-17,SPF dimensional lumber 2x4-2x10,"1,500 BF",3528,40.9115,-73.7824
SO-728548,2026-07-20,09:45,84LSPR,84 Lumber #0421,340 Taylor St,Springfield,MA,01105,T-19,James Hardie lap siding,3 pallets,8286,42.1043,-72.5731
SO-728552,2026-07-20,09:45,84LHART,84 Lumber #0388,145 Leibert Rd,Hartford,CT,06120,T-20,Trex composite decking,5 pallets,10929,41.7889,-72.6683
SO-728553,2026-07-20,09:45,WATBS,Brass City Building Supply,2100 S Main St,Waterbury,CT,06706,T-21,CertainTeed vinyl siding,9 pallets,12655,41.5661,-73.0405
SO-728555,2026-07-20,09:45,HICKBS,Hicksville Building Supply,300 Duffy Ave,Hicksville,NY,11801,T-22,OSB 7/16 4x8 sheathing,4 pallets,10331,40.7712,-73.5205
SO-728556,2026-07-20,09:45,ABEBS,Lehigh Valley Building Supply,1750 Grammes Rd,Allentown,PA,18103,T-23,CertainTeed vinyl siding,6 pallets,8706,40.6084,-75.49
SO-728557,2026-07-20,09:45,NATWOB,National Lumber Woburn,245 Salem St,Woburn,MA,01801,T-25,CDX plywood 1/2 4x8,16 pallets,37697,42.4855,-71.145
SO-728558,2026-07-21,06:30,LEEBS,Lee Building Products,180 Pleasant St,Lee,MA,01238,T-01,Trex composite decking,4 pallets,9529,42.3042,-73.2482
SO-728560,2026-07-21,06:30,NADAMS,Mohawk Trail Building Supply,1420 Curran Hwy,North Adams,MA,01247,T-01,James Hardie lap siding,3 pallets,10069,42.7009,-73.1087
SO-728562,2026-07-21,06:30,PITTSL,Pittsfield Lumber & Supply,555 Dalton Ave,Pittsfield,MA,01201,T-01,Trex composite decking,2 pallets,4746,42.452,-73.238
SO-728566,2026-07-21,06:30,PITTSL,Pittsfield Lumber & Supply,555 Dalton Ave,Pittsfield,MA,01201,T-01,LVL 1.75x11.875 beams,34 pcs,3209,42.452,-73.238
SO-728568,2026-07-21,06:30,NADAMS,Mohawk Trail Building Supply,1420 Curran Hwy,North Adams,MA,01247,T-01,Trex composite decking,7 pallets,14697,42.7009,-73.1087
SO-728571,2026-07-21,06:30,LEEBS,Lee Building Products,180 Pleasant St,Lee,MA,01238,T-01,James Hardie lap siding,2 pallets,4553,42.3042,-73.2482
SO-728572,2026-07-21,06:30,BFSFRAM,Builders FirstSource Framingham,350 Irving St,Framingham,MA,01702,T-02,CDX plywood 1/2 4x8,11 pallets,25281,42.2989,-71.4308
SO-728573,2026-07-21,06:30,SCHENBS,Schenectady Lumber,1680 Chrisler Ave,Schenectady,NY,12303,T-03,CDX plywood 1/2 4x8,4 pallets,8854,42.8025,-73.9401
SO-728576,2026-07-21,06:30,CAPDIST,Capital District Building Supply,1218 Central Ave,Albany,NY,12205,T-03,Trex composite decking,4 pallets,8629,42.7105,-73.8202
SO-728578,2026-07-21,06:30,NELUMB,Northeast Lumber,533 S Broad St,Meriden,CT,06450,T-04,CDX plywood 1/2 4x8,2 pallets,4320,41.5462,-72.8112
SO-728579,2026-07-21,06:30,BRISTBS,Bristol Building Supply,895 Farmington Ave,Bristol,CT,06010,T-04,LVL 1.75x11.875 beams,39 pcs,3694,41.6718,-72.9493
SO-728582,2026-07-21,06:30,MIDDBS,Middlesex Building Products,440 Newfield St,Middletown,CT,06457,T-04,James Hardie lap siding,3 pallets,7714,41.5701,-72.6595
SO-728584,2026-07-21,06:30,MIDDBS,Middlesex Building Products,440 Newfield St,Middletown,CT,06457,T-04,Millwork & interior trim,2 bundles,3633,41.5701,-72.6595
SO-728588,2026-07-21,06:30,NLONBS,Whaling City Building Supply,351 Broad St,New London,CT,06320,T-05,CertainTeed vinyl siding,10 pallets,14138,41.3502,-72.1023
SO-728590,2026-07-21,06:30,NLONBS,Whaling City Building Supply,351 Broad St,New London,CT,06320,T-05,James Hardie lap siding,5 pallets,13833,41.3502,-72.1023
SO-728593,2026-07-21,06:30,BPTBS,Park City Building Products,480 Iranistan Ave,Bridgeport,CT,06604,T-06,CDX plywood 1/2 4x8,8 pallets,19242,41.1932,-73.201
SO-728594,2026-07-21,06:30,MANCHBS,Manchester Building Products,391 W Middle Tpke,Manchester,CT,06040,T-07,Millwork & interior trim,13 bundles,23970,41.7759,-72.5215
SO-728596,2026-07-21,06:30,84LPOK,84 Lumber #1146,600 Violet Ave,Poughkeepsie,NY,12601,T-08,Trex composite decking,10 pallets,23484,41.6805,-73.9385
SO-728599,2026-07-21,06:30,SCRANBS,Scranton Lumber & Supply,1130 Capouse Ave,Scranton,PA,18509,T-09,CDX plywood 1/2 4x8,17 pallets,38401,41.4102,-75.6605
SO-728602,2026-07-21,06:30,NATNH,National Lumber New Haven,20 Lenox St,New Haven,CT,06513,T-10,Trex composite decking,9 pallets,20818,41.3162,-72.8989
SO-728606,2026-07-21,06:30,PATERBS,Silk City Building Materials,245 E Railway Ave,Paterson,NJ,07503,T-11,CDX plywood 1/2 4x8,3 pallets,6305,40.9105,-74.1602
SO-728608,2026-07-21,06:30,ELIZBS,Union County Building Supply,601 Bayway Ave,Elizabeth,NJ,07202,T-11,Trex composite decking,5 pallets,11250,40.6639,-74.2107
SO-728609,2026-07-21,06:30,GSMILL,Garden State Millwork,480 Frelinghuysen Ave,Newark,NJ,07114,T-11,OSB 7/16 4x8 sheathing,3 pallets,7051,40.7059,-74.1735
SO-728611,2026-07-21,06:30,ELIZBS,Union County Building Supply,601 Bayway Ave,Elizabeth,NJ,07202,T-11,BCI I-joists 11.875,108 pcs,6715,40.6639,-74.2107
SO-728612,2026-07-21,06:30,GSMILL,Garden State Millwork,480 Frelinghuysen Ave,Newark,NJ,07114,T-11,James Hardie lap siding,3 pallets,9002,40.7059,-74.1735
SO-728615,2026-07-21,06:30,PATERBS,Silk City Building Materials,245 E Railway Ave,Paterson,NJ,07503,T-11,BCI I-joists 11.875,109 pcs,6765,40.9105,-74.1602
SO-728616,2026-07-21,06:30,EMPIRE,Empire Building Materials,38-20 Review Ave,Long Island City,NY,11101,T-12,OSB 7/16 4x8 sheathing,15 pallets,36617,40.7402,-73.9312
SO-728618,2026-07-21,06:30,AMHERSTL,Amherst Lumber,459 University Dr,Amherst,MA,01002,T-13,Millwork & interior trim,2 bundles,4319,42.3672,-72.5312
SO-728619,2026-07-21,06:30,SDEERF,South Deerfield Lumber,260 Greenfield Rd,South Deerfield,MA,01373,T-13,Trex composite decking,3 pallets,6713,42.4777,-72.6079
SO-728620,2026-07-21,06:30,VALLEYBS,Valley Building Supply,320 King St,Northampton,MA,01060,T-13,OSB 7/16 4x8 sheathing,5 pallets,13411,42.3389,-72.6417
SO-728624,2026-07-21,06:30,GREENF,Franklin County Building Supply,89 French King Hwy,Greenfield,MA,01301,T-13,OSB 7/16 4x8 sheathing,3 pallets,6424,42.6039,-72.5541
SO-728625,2026-07-21,06:30,BFSPROV,Builders FirstSource Providence,260 Kinsley Ave,Providence,RI,02903,T-14,BCI I-joists 11.875,285 pcs,17689,41.8221,-71.4302
SO-728626,2026-07-21,06:30,NKINGBS,North Kingstown Lumber,7712 Post Rd,North Kingstown,RI,02852,T-14,Millwork & interior trim,2 bundles,3066,41.5801,-71.4774
SO-728629,2026-07-21,06:30,84LSPR,84 Lumber #0421,340 Taylor St,Springfield,MA,01105,T-15,LVL 1.75x11.875 beams,420 pcs,39911,42.1043,-72.5731
SO-728630,2026-07-21,06:30,BRATVT,Brattleboro Home & Lumber,532 Putney Rd,Brattleboro,VT,05301,T-16,Millwork & interior trim,8 bundles,13832,42.8552,-72.5715
SO-728631,2026-07-21,06:30,WPBS,Westchester Building Products,180 Westmoreland Ave,White Plains,NY,10606,T-17,OSB 7/16 4x8 sheathing,5 pallets,11535,41.0421,-73.7702
SO-728632,2026-07-21,06:30,NEWROCH,Sound Shore Building Supply,379 Main St,New Rochelle,NY,10801,T-17,James Hardie lap siding,1 pallets,3382,40.9115,-73.7824
SO-728634,2026-07-21,06:30,NEWROCH,Sound Shore Building Supply,379 Main St,New Rochelle,NY,10801,T-17,CertainTeed vinyl siding,8 pallets,12198,40.9115,-73.7824
SO-728637,2026-07-21,06:30,WPBS,Westchester Building Products,180 Westmoreland Ave,White Plains,NY,10606,T-17,BCI I-joists 11.875,101 pcs,6284,41.0421,-73.7702
SO-728638,2026-07-21,06:30,NEWROCH,Sound Shore Building Supply,379 Main St,New Rochelle,NY,10801,T-17,James Hardie lap siding,2 pallets,5292,40.9115,-73.7824
SO-728640,2026-07-21,06:30,WORCBS,Worcester Building Supply,120 Southbridge St,Worcester,MA,01608,T-18,Millwork & interior trim,6 bundles,10647,42.2751,-71.7997
SO-728642,2026-07-21,06:30,AUBURNBS,Auburn Lumber Co,48 Millbury St,Auburn,MA,01501,T-18,Millwork & interior trim,8 bundles,14142,42.1945,-71.8356
SO-728646,2026-07-21,06:30,AUBURNBS,Auburn Lumber Co,48 Millbury St,Auburn,MA,01501,T-18,LVL 1.75x11.875 beams,133 pcs,12650,42.1945,-71.8356
SO-728650,2026-07-21,06:30,AUBURNBS,Auburn Lumber Co,48 Millbury St,Auburn,MA,01501,T-18,Millwork & interior trim,2 bundles,4182,42.1945,-71.8356
SO-728651,2026-07-21,09:45,SCHENBS,Schenectady Lumber,1680 Chrisler Ave,Schenectady,NY,12303,T-03,SPF dimensional lumber 2x4-2x10,"2,900 BF",6928,42.8025,-73.9401
SO-728655,2026-07-21,09:45,TROYBS,Collar City Building Supply,621 River St,Troy,NY,12180,T-03,CertainTeed vinyl siding,7 pallets,10840,42.7284,-73.6918
SO-728658,2026-07-21,09:45,BFSALB,Builders FirstSource Albany,926 Broadway,Albany,NY,12207,T-03,Millwork & interior trim,6 bundles,10864,42.6598,-73.7405
SO-728662,2026-07-21,09:45,WATBS,Brass City Building Supply,2100 S Main St,Waterbury,CT,06706,T-04,SPF dimensional lumber 2x4-2x10,"5,200 BF",12282,41.5661,-73.0405
SO-728665,2026-07-21,09:45,BRISTBS,Bristol Building Supply,895 Farmington Ave,Bristol,CT,06010,T-04,CDX plywood 1/2 4x8,6 pallets,14937,41.6718,-72.9493
SO-728667,2026-07-21,09:45,NORWICH,Rose City Lumber,224 W Main St,Norwich,CT,06360,T-05,CertainTeed vinyl siding,6 pallets,8380,41.532,-72.0801
SO-728670,2026-07-21,09:45,AMHERSTL,Amherst Lumber,459 University Dr,Amherst,MA,01002,T-13,CertainTeed vinyl siding,4 pallets,6256,42.3672,-72.5312
SO-728674,2026-07-21,09:45,BRATVT,Brattleboro Home & Lumber,532 Putney Rd,Brattleboro,VT,05301,T-16,James Hardie lap siding,5 pallets,14160,42.8552,-72.5715
SO-728677,2026-07-21,09:45,WORCBS,Worcester Building Supply,120 Southbridge St,Worcester,MA,01608,T-18,SPF dimensional lumber 2x4-2x10,"2,200 BF",5341,42.2751,-71.7997
SO-728679,2026-07-21,09:45,ELMCITY,Elm City Building Products,480 Grand Ave,New Haven,CT,06511,T-19,LVL 1.75x11.875 beams,116 pcs,11053,41.3055,-72.9104
SO-728682,2026-07-21,09:45,OCEANST,Ocean State Lumber,45 Dupont Dr,Providence,RI,02907,T-20,LVL 1.75x11.875 beams,81 pcs,7711,41.8005,-71.4506
SO-728685,2026-07-21,09:45,BFSFRAM,Builders FirstSource Framingham,350 Irving St,Framingham,MA,01702,T-21,CDX plywood 1/2 4x8,5 pallets,11076,42.2989,-71.4308
SO-728689,2026-07-21,09:45,84LPOK,84 Lumber #1146,600 Violet Ave,Poughkeepsie,NY,12601,T-22,OSB 7/16 4x8 sheathing,5 pallets,12954,41.6805,-73.9385
SO-728692,2026-07-21,09:45,BPTBS,Park City Building Products,480 Iranistan Ave,Bridgeport,CT,06604,T-23,OSB 7/16 4x8 sheathing,5 pallets,12630,41.1932,-73.201
SO-728695,2026-07-21,09:45,MANCHBS,Manchester Building Products,391 W Middle Tpke,Manchester,CT,06040,T-24,James Hardie lap siding,5 pallets,13465,41.7759,-72.5215
SO-728696,2026-07-21,09:45,EMPIRE,Empire Building Materials,38-20 Review Ave,Long Island City,NY,11101,T-25,LVL 1.75x11.875 beams,396 pcs,37640,40.7402,-73.9312
SO-728699,2026-07-22,06:30,NADAMS,Mohawk Trail Building Supply,1420 Curran Hwy,North Adams,MA,01247,T-01,CDX plywood 1/2 4x8,7 pallets,15220,42.7009,-73.1087
SO-728703,2026-07-22,06:30,NATWOB,National Lumber Woburn,245 Salem St,Woburn,MA,01801,T-02,BCI I-joists 11.875,141 pcs,8719,42.4855,-71.145
SO-728707,2026-07-22,06:30,MARLBS,Marlborough Builders Supply,31 Sasseville Way,Marlborough,MA,01752,T-02,James Hardie lap siding,5 pallets,13818,42.3459,-71.5522
SO-728708,2026-07-22,06:30,BFSFRAM,Builders FirstSource Framingham,350 Irving St,Framingham,MA,01702,T-02,CertainTeed vinyl siding,3 pallets,4052,42.2989,-71.4308
SO-728710,2026-07-22,06:30,NATWOB,National Lumber Woburn,245 Salem St,Woburn,MA,01801,T-02,Trex composite decking,5 pallets,10782,42.4855,-71.145
SO-728714,2026-07-22,06:30,NATWOB,National Lumber Woburn,245 Salem St,Woburn,MA,01801,T-02,OSB 7/16 4x8 sheathing,2 pallets,5297,42.4855,-71.145
SO-728717,2026-07-22,06:30,BFSALB,Builders FirstSource Albany,926 Broadway,Albany,NY,12207,T-03,SPF dimensional lumber 2x4-2x10,"15,100 BF",35682,42.6598,-73.7405
SO-728718,2026-07-22,06:30,NELUMB,Northeast Lumber,533 S Broad St,Meriden,CT,06450,T-04,Millwork & interior trim,5 bundles,9074,41.5462,-72.8112
SO-728719,2026-07-22,06:30,MIDDBS,Middlesex Building Products,440 Newfield St,Middletown,CT,06457,T-04,CertainTeed vinyl siding,4 pallets,6504,41.5701,-72.6595
SO-728722,2026-07-22,06:30,WATBS,Brass City Building Supply,2100 S Main St,Waterbury,CT,06706,T-04,Millwork & interior trim,7 bundles,13195,41.5661,-73.0405
SO-728723,2026-07-22,06:30,NELUMB,Northeast Lumber,533 S Broad St,Meriden,CT,06450,T-04,Trex composite decking,5 pallets,10359,41.5462,-72.8112
SO-728727,2026-07-22,06:30,WATBS,Brass City Building Supply,2100 S Main St,Waterbury,CT,06706,T-04,CDX plywood 1/2 4x8,4 pallets,8552,41.5661,-73.0405
SO-728731,2026-07-22,06:30,NLONBS,Whaling City Building Supply,351 Broad St,New London,CT,06320,T-05,BCI I-joists 11.875,94 pcs,5802,41.3502,-72.1023
SO-728735,2026-07-22,06:30,WILLIBS,Windham Building Products,1548 W Main St,Willimantic,CT,06226,T-05,SPF dimensional lumber 2x4-2x10,"3,800 BF",8958,41.7106,-72.2081
SO-728738,2026-07-22,06:30,NORWICH,Rose City Lumber,224 W Main St,Norwich,CT,06360,T-05,LVL 1.75x11.875 beams,50 pcs,4786,41.532,-72.0801
SO-728740,2026-07-22,06:30,NLONBS,Whaling City Building Supply,351 Broad St,New London,CT,06320,T-05,LVL 1.75x11.875 beams,100 pcs,9493,41.3502,-72.1023
SO-728741,2026-07-22,06:30,DANBS,Danbury Building Supply,57 Shelter Rock Rd,Danbury,CT,06810,T-06,OSB 7/16 4x8 sheathing,10 pallets,25650,41.4015,-73.4501
SO-728742,2026-07-22,06:30,84LHART,84 Lumber #0388,145 Leibert Rd,Hartford,CT,06120,T-07,OSB 7/16 4x8 sheathing,3 pallets,7953,41.7889,-72.6683
SO-728745,2026-07-22,06:30,REXHART,Rex Lumber Hartford,610 Wethersfield Ave,Hartford,CT,06114,T-07,CDX plywood 1/2 4x8,7 pallets,15021,41.742,-72.6689
SO-728746,2026-07-22,06:30,GLASTBS,Glastonbury Lumber,39 Commerce St,Glastonbury,CT,06033,T-07,CDX plywood 1/2 4x8,2 pallets,4088,41.7123,-72.6082
SO-728748,2026-07-22,06:30,MANCHBS,Manchester Building Products,391 W Middle Tpke,Manchester,CT,06040,T-07,OSB 7/16 4x8 sheathing,6 pallets,14452,41.7759,-72.5215
SO-728752,2026-07-22,06:30,REXHART,Rex Lumber Hartford,610 Wethersfield Ave,Hartford,CT,06114,T-07,BCI I-joists 11.875,70 pcs,4331,41.742,-72.6689
SO-728754,2026-07-22,06:30,NEWBGH,Hudson Valley Building Materials,1220 Route 300,Newburgh,NY,12550,T-08,Millwork & interior trim,11 bundles,19352,41.5101,-74.0212
SO-728757,2026-07-22,06:30,KINGBS,Kingston Building Supply,850 Flatbush Ave,Kingston,NY,12401,T-08,OSB 7/16 4x8 sheathing,1 pallets,3007,41.9385,-73.9905
SO-728761,2026-07-22,06:30,BETHBS,Bethlehem Building Products,2260 Industrial Dr,Bethlehem,PA,18017,T-09,CertainTeed vinyl siding,6 pallets,8735,40.6301,-75.3652
SO-728764,2026-07-22,06:30,ABEBS,Lehigh Valley Building Supply,1750 Grammes Rd,Allentown,PA,18103,T-09,SPF dimensional lumber 2x4-2x10,"6,300 BF",15000,40.6084,-75.49
SO-728767,2026-07-22,06:30,EASTONPA,Forks of the Delaware Building Supply,3700 Sullivan Trail,Easton,PA,18040,T-09,Trex composite decking,4 pallets,9791,40.6884,-75.2207
SO-728769,2026-07-22,06:30,ABEBS,Lehigh Valley Building Supply,1750 Grammes Rd,Allentown,PA,18103,T-09,James Hardie lap siding,2 pallets,5160,40.6084,-75.49
SO-728771,2026-07-22,06:30,MILFBS,Milford Building Supply,85 Rowe Ave,Milford,CT,06461,T-10,SPF dimensional lumber 2x4-2x10,"4,400 BF",10373,41.2301,-73.064
SO-728772,2026-07-22,06:30,GUILBS,Shoreline Building Products,2280 Boston Post Rd,Guilford,CT,06437,T-10,James Hardie lap siding,5 pallets,15033,41.2895,-72.6817
SO-728773,2026-07-22,06:30,MILFBS,Milford Building Supply,85 Rowe Ave,Milford,CT,06461,T-10,James Hardie lap siding,5 pallets,13645,41.2301,-73.064
